Complaint ID,Product,Issue,Company,State,ZIP code
3238275,Checking savings account,Managing account,NAVY FEDERAL CREDIT UNION,FL,328XX
3238228,Checking savings account,Managing account,BOEING EMPLOYEES CREDIT UNION,WA,98204
3237964,Debt collection,Communication tactics,CURO Intermediate Holdings,TX,751XX
3238479,Credit reporting credit repair services personal consumer reports,Incorrect information report,Ad Astra Recovery Services Inc,LA,708XX
3238460,Checking savings account,Managing account,ALLY FINANCIAL INC,AZ,85205
3237885,Mortgage,Closing mortgage,Statebridge Company,NJ,08302
3238221,Student loan,Struggling repay loan,Student Loan Direct,TX,773XX
3238545,Debt collection,Attempts collect debt owed,Diversified Consultants Inc,SC,296XX
3238458,Credit reporting credit repair services personal consumer reports,Incorrect information report,CONTRACT CALLERS INC,MD,20774
3238036,Vehicle loan lease,Struggling pay loan,ALLY FINANCIAL INC,NV,891XX
3237941,Debt collection,False statements representation,MiraMed Revenue Group LLC,VA,23156
3237971,Debt collection,False statements representation,Commonwealth Financial Systems Inc,TX,774XX
3237837,Credit reporting credit repair services personal consumer reports,Problem credit reporting companys investigation existing problem,ALLY FINANCIAL INC,TX,774XX
3237928,Debt collection,Took threatened take negative legal action,NAVY FEDERAL CREDIT UNION,FL,346XX
3238682,Debt collection,Communication tactics,MERCANTILE ADJUSTMENT BUREAU LLC,NY,14609
3237088,Debt collection,Attempts collect debt owed,HCFS Health Care Financial Services Inc,AZ,852XX
3237160,Checking savings account,Managing account,ALLY FINANCIAL INC,CO,81302
3236983,Debt collection,False statements representation,Diversified Consultants Inc,NJ,087XX
3237404,Debt collection,False statements representation,ALLY FINANCIAL INC,MI,48185
3236857,Debt collection,Written notification debt,Weltman Weinberg  Reis Co LPA,OH,432XX
3236737,Debt collection,Threatened contact someone share information improperly,CASHCALL INC,CA,944XX
3237833,Debt collection,Attempts collect debt owed,Ability Recovery Services LLC,NC,28216
3237655,Credit reporting credit repair services personal consumer reports,Incorrect information report,NISSAN MOTOR ACCEPTANCE CORPORATION,TX,797XX
3237100,Credit reporting credit repair services personal consumer reports,Improper use report,FIRST ADVANTAGE CORPORATION,UT,84401
3237425,Debt collection,Written notification debt,Midwest Fidelity Services LLC,IL,60025
3236953,Debt collection,Attempts collect debt owed,HCFS Health Care Financial Services Inc,FL,33056
3237247,Debt collection,Written notification debt,NICHOLAS FINANCIAL INC,FL,338XX
3236773,Debt collection,Attempts collect debt owed,SFS Inc,NC,28752
3237657,Debt collection,Took threatened take negative legal action,CURO Intermediate Holdings,ME,04042
3237831,Credit reporting credit repair services personal consumer reports,Incorrect information report,Diversified Consultants Inc,FL,328XX
3237515,Debt collection,Attempts collect debt owed,Ad Astra Recovery Services Inc,OR,972XX
3237320,Mortgage,Closing mortgage,QUICKEN LOANS INC,NJ,08619
3237630,Credit reporting credit repair services personal consumer reports,Incorrect information report,The CMI Group Inc,SC,297XX
3236839,Debt collection,Written notification debt,NCC Business Services Inc,NY,132XX
3237250,Debt collection,Attempts collect debt owed,Sequoia Financial Services,CA,91205
3236808,Debt collection,Attempts collect debt owed,USCB INC,AZ,85713
3236855,Credit reporting credit repair services personal consumer reports,Incorrect information report,EQUIFAX INC,NC,276XX
3237137,Debt collection,Communication tactics,ERC,NC,280XX
3237284,Mortgage,Trouble payment process,CITIBANK NA,NJ,07735
3236888,Vehicle loan lease,Problems end loan lease,ALLY FINANCIAL INC,TX,750XX
3237300,Vehicle loan lease,Incorrect information report,NAVY FEDERAL CREDIT UNION,VA,235XX
3237758,Debt collection,Attempts collect debt owed,Convergent Resources Inc,MI,48162
3237483,Debt collection,Communication tactics,McCarthy Burgess  Wolff Inc,TX,782XX
3237779,Credit card prepaid card,Fees interest,NAVY FEDERAL CREDIT UNION,WI,546XX
3236826,Debt collection,Written notification debt,GETM INCORPORATED,CA,924XX
3237308,Debt collection,Written notification debt,Ad Astra Recovery Services Inc,TX,777XX
3237252,Checking savings account,Problem lender company charging account,NAVY FEDERAL CREDIT UNION,MD,207XX
3236867,Credit reporting credit repair services personal consumer reports,Incorrect information report,EQUIFAX INC,CA,949XX
3236982,Vehicle loan lease,Managing loan lease,ALLY FINANCIAL INC,MN,550XX
3237211,Debt collection,Communication tactics,Diversified Consultants Inc,NV,89119
3236934,Debt collection,Attempts collect debt owed,EQUIFAX INC,TX,77082
3236941,Credit reporting credit repair services personal consumer reports,Incorrect information report,EQUIFAX INC,GA,30126
3236914,Credit reporting credit repair services personal consumer reports,Problem credit reporting companys investigation existing problem,EQUIFAX INC,NC,28540
3236776,Debt collection,Attempts collect debt owed,SaVit Enterprises Inc,NJ,070XX
3236752,Debt collection,Attempts collect debt owed,CHARLESTON AREA MEDICAL CENTER,WV,26003
3237556,Checking savings account,Managing account,ALLY FINANCIAL INC,NV,89123
3235461,Debt collection,Attempts collect debt owed,Perfection Collection,FL,329XX
